Name, Date, Upper_spillway_capacity, Lower_spillway_capacity, Upper_crest_capacity, Lower_crest_capacity
Auburn_20250125, 20250125, 13888.068083276701, 13682.058502291107, 25300.081525334204, 24842.520372540563
Auburn_20250210, 20250210, 10532.464939495843, 10481.979403368814, 24855.498535083163, 24569.06545122749
Auburn_20250214, 20250214, 1445.5839263199246, 1427.165498694966, 14848.484394891006, 14553.044347452771
Auburn_20250219, 20250219, 2529.141142931564, 2421.521951535802, 12567.051307147884, 12242.649024497648
Auburn_20250223, 20250223, 2810.4919253364933, 2503.2695418680933, 13683.649346982598, 13133.885620502153
Bailey_20250125, 20250125, 49106.886483605485, 47262.800343864765, 87566.26519243201, 83814.8317991003
Bailey_20250210, 20250210, 47868.964181187854, 45702.22936272415, 85999.4238073628, 82415.73210649687
Bailey_20250214, 20250214, 5532.2218032950905, 5174.615694655506, 46160.69194918696, 43673.68036961929
Bailey_20250219, 20250219, 12515.259597314336, 11847.723683368486, 50987.29884630411, 48491.27124931758
Bailey_20250223, 20250223, 13179.211109317885, 12421.445571832759, 55133.0800530913, 52134.49892290333
CarriageHouse_20250210, 20250210, 2468.5479490230396, 2432.7574725439645, 4325.559542923173, 4251.913173370784
CarriageHouse_20250214, 20250214, 773.817949363981, 753.608212618105, 2629.805234146102, 2580.9954824599317
CarriageHouse_20250219, 20250219, 969.6605065437867, 951.0803527821971, 2660.2088965591365, 2623.1230646745666
CarriageHouse_20250223, 20250223, 1060.485437150751, 1013.2316497737536, 2777.0661898005937, 2693.35442851715
Carter_20250125, 20250125, 13735.056242896937, 13379.139563395136, 20841.633376047124, 20246.41974359785
Carter_20250210, 20250210, 13534.182640802583, 13192.624800863807, 20949.612893405843, 20328.669160377052
Carter_20250214, 20250214, 8620.692786594196, 8405.918039291982, 15543.346306150752, 15160.737149012002
Carter_20250219, 20250219, 9197.162074757367, 8923.315977433422, 16503.202694458763, 16022.201354116994
Carter_20250223, 20250223, 9391.801988781035, 9044.72964579297, 16330.070220954434, 15768.878115150606
Devonwood_20250219, 20250219, 1522.6680415760118, 1351.4607231799946, 3271.419547884514, 3040.9300585478145
Devonwood_20250223, 20250223, 1886.5173670363715, 1680.8002622156923, 3725.499599305202, 3457.468175886551
Gooseberry_20250219, 20250219, 6947.431483074773, 6672.989312299161, 23621.718766675036, 22766.775142084047
Gooseberry_20250223, 20250223, 6628.075017658999, 6531.87702739587, 23098.60295103201, 22293.307482762895
KinneloaEast_20250223, 20250223, 2415.754562335619, 2211.699913948043, 7552.020154529522, 6787.533562522918
KinneloaWest_20250223, 20250223, 1348.7613977959686, 1238.2488553098492, 11108.980878320515, 9900.052358442383
Lannan_20250223, 20250223, 3273.179717593774, 3149.4044808324093, 20727.592992931935, 19423.835123598354
LasFlores_20250219, 20250219, 2418.465057235426, 2327.9771732552613, 21984.91455627138, 21148.665323889258
LasFlores_20250223, 20250223, 3274.8963573516335, 3054.7064559628943, 22933.69018734477, 21528.18495775723
SierraMadreDam_20250219, 20250219, 15874.483030272528, 14468.15489781493, 20581.411130745008, 18908.591409421006
SierraMadreDam_20250223, 20250223, 36721.19365544437, 33106.66677437147, 42732.626322656724, 38945.13610045521
Sunnyside_20250210, 20250210, 75746.40699210802, 76537.23402113077, 82412.58818813381, 83315.73008559109
Sunnyside_20250214, 20250214, 0.0, 0.0, 1273.8832424738482, 1247.186676284637
Sunnyside_20250219, 20250219, 114.89567989592247, 114.47957137335884, 1603.6323621631416, 1568.2411876393032
Sunnyside_20250223, 20250223, 194.8753662322956, 194.26015077371335, 1721.1124663820765, 1686.4095364311977
